source,target,comment,task
"Technology Roadmapping, a form of technology planning, can aid a company in a competitive environment. Technology planning is needed to identify and develop the technologies required in the company. Once these technology enhancements or new technologies are identified they can be developed internally or collaboratively with external partners. For both approaches technology roadmapping can be used as a tool to plan and coordinate the set of activities involved in the processes.",Technology Roadmapping can help a company in different enviroments commercial enviroments. It is used to to find and develop the technologies needed in the company. When the enhancements are identified they can be developed internally or collaboratively with external partners.,Make the text more readable and comprehensive. Remove jargon.,wiki
"Sye is the only remaining language on Erromango. There have been the four languages Sye, Sorung, Ura and Utaha. The latter three can be regarded as extinct, however, until recently there was a very small number of speakers of Ura. Terry Crowley counted six speakers in the mid-1990s. The branch of South Vanuatu languages was constituted by the above four languages.","Sye is close to being the only language on Erromango. There were once four—Sye, Sorung, Ura and Utaha—but the latter three are nearly extinct, apart from a handful of recently discovered Ura speakers. Terry Crowley counted six speakers of Ura in the mid-1990s. The South Vanuatu languages comprise these four languages.","Add ""nearly"" before ""extinct.""",wiki
"Secretary General of the Truth and Reconciliation Commission. Effectively started work in March 2016 after she appointed the advisory council. Aim is to investigate the Burundian genocides. As sec gen of truth & rec implemented a programme to idenify and exhume mass graves, identify victims and pereptrators where possible and rebury them with appropriate funerals. The first mass grave was excavated in June 2017. Aims to implement a scheme of compensation payments in time. It is estimated that there are around 2,500 such graves in the country.","Niragira was later appointed Secretary-General of the Zambian Truth and Reconciliation Commission, whose aim is to investigate the Burundian genocides. She appointed an international advisory council in March 2016, which allowed the work of the commission to begin. The commission has implemented a program to identify and exhume mass graves, identify victims and perpetrators where possible and rebury bodies with appropriate funerals. The first mass grave was excavated in June 2017; a further 2,500 are estimated to exist in the country. Niragira has promised to implement a system of compensation for the victims and their families.",Clean up paragraph about Truth and Reconciliation Commission.,wiki
"In his attempt to give a financial independence to the monastery, Saint Timotheos bought pieces of the land around, displacing the sepherds away to a place called Labrika, near the modern Koropi. This fact caused Timotheos and other land owners to conflicts, such as Saint Philothei of Athens. Some Pieces of the land that were claimed were owned by the Great Logothetis Ierakas, which he gave to the monastery, whereas Philothei regained the pieces that she claimed. Afterwards, some Koropiotes sepherds of sarakatsaneiki and arvanitiki descent returned to work at the fields, after the disputes were over.","In his attempt to give financial independence to the monastery, Saint Timotheos bought pieces of the land around, displacing the shepherds away to a place called Labrika, near modern Koropi. This fact led Timotheos and other landowners to conflicts, such as Saint Philothei from Athens. Some pieces of the land were claimed to be owned by the Great Logothetis Ierakas, which he gave to the monastery, whereas Philothei regained the pieces that she owned. Afterward, some Sarakatsani and Arvanites Koropiotes returned to work in the fields, after the disputes were over. During the years of the Hellenic independence, in 1835 the Municipality of Myrinous of the province of Attica is established and the seat is located at the settlement of Liopesi, the center of the ancient trittys of Paiania. The name Myrinous comes from the coastal deme that is located at modern Markopoulo. ",Copyedit and expand the information.,wiki
Some aspects that human tutors can do that intelligent tutoring systems are still limited by are in the areas of dialogue and feedback. One reason for these limitations are that human tutors are able to interpret the affective state of the student. Current research has been focusing on how to improve on these areas of ITS to make it more effective.,Intelligent tutoring systems are less capable than human tutors in the areas of dialogue and feedback. Human tutors are able to interpret the affective state of the student. Research is looking for how to improve these areas of ITS to make it more effective.,Copyedit for grammatical errors and to make the text more concise.,wiki
"The Id dominates, because neither the ego nor the super ego is yet fully developed, and, since the infant has no personality (identity), every action is based upon the pleasure principle; nonetheless, the ego is developing during the Oral stage. Therefore, the infant gradually understands that gratification sometimes is delayed, and that he or she must behave in ways certain to lead to gratification of desire, e.g. crying proves productive to gratifying certain needs. Weaning is the infant’s key experience during the Oral stage of psychosexual development, his or her first feeling of loss consequent to losing the physical intimacy of feeding at the mother’s breast. Yet, weaning also increases the infant’s self-awareness upon learning that not everything is under his or her control, and thus learns of delayed gratification. In the second stage of psychosexual development, the gratification of needs leads to the formation of independence (awareness of the limits of the self) and the capacity to trust (specific behaviors lead to gratification). An Oral-stage fixation can lead to passivity, gullibility, immaturity, unrealistic optimism, and the formation of a manipulative personality consequent to the improper formation of the ego, resulting either from too much or too little gratification of desire. In the case of too much gratification, the child does not learn that he or she does not control the environment, and that gratification is not always immediate (the result of weaning), thereby forming an immature personality. In the case of too little gratification of desire, the infant might become passive upon learning that gratification is not forthcoming, despite having produced the gratifying behavior.","The Id dominates, because neither the ego nor the super ego is yet fully developed, and, since the infant has no personality (identity), every action is based upon the pleasure principle. Weaning is the key experience in the infant’s Oral stage of psychosexual development, his or her first feeling of loss consequent to losing the physical intimacy of feeding at mother’s breast. Yet, thwarting of the Oral-stage — too much or too little gratification of desire — might lead to an oral-stage fixation, characterised by passivity, gullibility, immaturity, unrealistic optimism, which is manifested in a manipulative personality consequent to ego malformation. In the case of too much gratification, the child does not learn that he or she does not control the environment, and that gratification is not always immediate, thereby forming an immature personality. In the case of too little gratification, the infant might become passive upon learning that gratification is not forthcoming, despite having produced the gratifying behavior.",Make the text more concise,wiki
"As a result of this the systems are themselves chiral and will often react differently to the different enantiomers of a given compound. However studies have shown that only the (S)-(+) enantiomer is responsible for this effect. As such enantioselctive synthesis is of great importance. However it can also be difficult to achieve, as enantiomers possess identical energies and hence should produce them in equal amounts by an undirected process, leading to a racemic mixture. In enantioselective synthesis the formation of one enantiomer is promoted by making its transition state lower in energy than that of the opposing enantiomer. This is achieved by making the environment around the transition state chiral; a process known as asymmetric induction. This can involve the influence of chiral feature present in the substrate, reagent, catalyst or environment.","As a result of this living systems possess a high degree of chemical chirality and will often react differently to the various enantiomers of a given compound. However studies have shown that only the (S)-(+) enantiomer is responsible for the drugs benificial effects. However L-penicillamine is toxic as it inhibits the action of pyridoxine. As such enantioselctive synthesis is of great importance, but it can also be difficult to achieve. Enantiomers possess identical energies and hence should be produced in equal amounts by an undirected process, leading to a racemic mixture. A common solution is to introduce a chiral feature which will promote the formation of one enantiomer via intereactions at the transition state; a process known as asymmetric induction. This can involve the a presence of a chiral feature in the substrate, reagent, catalyst or environment and works by making the transition state of one enatiomer lower in energy than that of the opposing enantiomer.",Rewrite this passage and include an example,wiki
"Agile marketing is an organizational effectiveness strategy that drives growth through focusing team efforts on those that deliver value to the end-customer. This emerging practice in marketing applies key principles of agile software development to increase speed, quality, flexibility, and effectiveness of a marketing department. Ownership and execution of work is managed by self-organizing, highly iterative, cross-functional, and flexible teams empowered to identify and deliver customer value.","Agile marketing is an organizational effectiveness strategy that uses self-organizing, cross-functional teams doing work in frequent iterations. It aims to drive growth by focusing team efforts on those that deliver value to the end-customer. This emerging practice in marketing applies selected principles of agile software development. Proponents argue this increases speed, quality, flexibility, and effectiveness of a marketing department.",Rewrite this in a more nuetral tone.,wiki
"Through the city from east to west is a Trans-Caspian Railway Turkmenbashi-Balkanabat-Bereket-Ashgabat-Mary-Türkmenabat. Also from Ashgabat to the north-east departs new Trans Karakum railway (Ashgabat-Karakum-Dashoguz), on which the movement is open from February 2006. In May 2009, the city municipality has completed the reconstruction of the Ashgabat railway station.","The Trans-Caspian Railway (Turkmenbashi-Balkanabat-Bereket-Ashgabat-Mary-Türkmenabat) runs through Ashgabat from east to west. Since 2006 there has also been a train line towards the north, the Trans Karakum railway. In May 2009, the restoration of Ashgabat railway station was completed.",Rewrite the text for clarity. ,wiki
"Envy-freeness (EF) is a criterion of fair division. In an envy-free division, every agent feels that their share is at least as good as the share of any other agent, and thus no agent feels envy. A resource is divided among several agents such that every agent i receives a share X_i. Every agent i has a subjective preference relation \ succeq_i over different possible shares.","Envy-freeness, also known as no-envy, is a criterion for fair division. It says that when resources are allocated among people with equal rights, each person should receive a share that is, in his or her eyes, at least as good as the share received by any other agent. In other words, no person should feel envy. Suppose a certain resource is divided among several agents, such that every agent i receives a share X_i. Every agent i has a personal preference relation \ succeq_i over different possible shares.","Modify the phrase ""subjective preference"" to ""personal preference"".",wiki
"According to Seligman, the more happy people are, the less they are focused on the negative. They also tend to like others more, which creates an overall happiness which then correlates to a higher level of satisfaction with their life. However, others have found that life satisfaction is compatible with profoundly negative emotional states like depression (Carson 1981). A test was designed to measure participants ’ability to recall a specific memory in response to a cue word while being timed. They presented a list of 30 words to a focus group, who identified which words were more familiar positive, negative, and neutral. These words were presented orally to the participant. Words were presented in a fixed, alternating order. To make sure the participants understood the instructions, they provided examples of general memory (e.g., summers in the city) and specific memory (e.g., the day I got married). In this test, participants were asked to share a memory that the cue word reminded them of, one that should have occurred at a particular time and place and lasted no longer than a day. Participants were given 30 seconds to produce a memory. If no memory was recalled in 30 seconds, it was not counted. Each memory was rated on whether it was general or specific. If the recalled event lasted no longer than a day, it was rated as specific. If the memory happened on a number of occasions, it was rated as general. Two psychologists served as raters and independently scored the responses of all participants; The raters were not aware of the hypotheses of the study, the experimental or control group, and the pretest or posttest.","According to Seligman, the happier people are, the less they are focused on the negative. Happier people also have a greater tendency to like other people, which promotes a happier environment, which then correlates to a higher level of the person's satisfaction with his or her life. However, others have found that life satisfaction is compatible with profoundly negative emotional states like depression. The test was designed to measure participants ’ability to recall a specific memory, in response to a cue word, while being timed. To ensure that the participants understood the instructions, examples were provided of both 'general' memories (e.g., summers in the city) and 'specific' memories (e.g., the day I got married). For each cue word, participants were asked to share a memory evoked by that word, of an event that should have occurred only once, at a particular time and place, and that lasted no longer than a day. If the person could not recall a memory within 30 seconds, then that cue instance was not counted. Two psychologists served as raters and independently scored the responses of each participant. Each memory was tagged either as 'specific' – if the recalled event lasted no more than one day – or, otherwise, as 'general'. The raters were not informed regarding the hypotheses of the study, the experimental (control) group's membership, nor the content of the pretest or post-test.","Edit for punctuation, wordiness, syntax, as well as which/that confusion.",wiki
"He was made the club's captain after Richard Brittain's departure. Davies made his Ross County debut in the season's opening game, when he played 90 minutes in a 2–0 loss to Celtic. On 13 March 2016, Davies led Ross County to their first major trophy with a 2–1 victory over Hibernian in the Scottish League Cup. Although Davies was eligible to play for Wales and England (since he holds a dual registration), he chose to play for England. After being called up by England U19 and England U20, he received a cap at the England U21 level against Turkey U21 on 10 October 2003. Davies' elder brother, Mark, is a cricketer with Kent. According to Davies, if he were not a footballer he would have become a professional cricketer; his childhood hero was Franco Baresi. He played cricket while growing up, but stopped at age sixteen because of his football career at Middlesbrough.","Upon joining the club, Davies was given the club's captaincy following Richard Brittain's departure. In his first game as captain, Davies made his Ross County debut, in the opening game of the season, where he played 90 minutes in a 2–0 loss against Celtic. On 13 March 2016, Davies captained Ross County to their first major silverware with a 2–1 victory over Hibernian in the Scottish League Cup. Ahead of the 2016–17 season, Davies was replaced as Ross County captain by Paul Quinn, after telling the club he wanted to return to England, with his wife having failed to settle in Scotland. After talking with his family and the club, he then decided to stay for the ramainder of his contract. Davies was eligible to play for Wales and England, as he holds a dual registration. In the end, Davies chose to play for England. Having previously been called up by England U19 and England U20, Davies received one cap at England U21 level against Turkey U21 on 10 October 2003. His elder brother, Mark is a cricketer with Kent. Davies stated that if he wasn't a footballer, he would have become a professional cricketer, having played while growing up, stopping at sixteen as result of his football career at Middlesbrough. Davies has said his childhood hero was Franco Baresi.",Include more information.,wiki
"This dining centre has four different dining places which consist of a sushi place, a cafe, an Indian place, and a restaurant that has multiple different options. There are many different options when choosing a place to eat and the type of food you are looking for. These dining centres are all owned by individual owners, who are local.","This dining center has four different dining places which consist of a Sushi place, a cafe, an Indian place, and a restaurant that offers various options. These dining centrers are all owned by individual local owners.",Remove the second sentence.,wiki
"Aside from the western terminus of Missouri Route 98, the only other site is the Hail Ridge Golf Course, and a local street leading to Jesse Viertel Memorial Airport. Interstate 70 Business is a Business Loop of I-70 in Columbia, Missouri between Exits 125 and 128. Interstate 70 Business is a Business Loop of I-70 in St. Charles, Missouri. It runs from Exit 228 to 229, partially along Missouri Route 94, as well as otherwise unmarked First Capitol Drive and Fifth Street. The Interstate 70 Business Loop begins at Exit 228, a Single Point Urban Interchange with Missouri Route 94 (First Capitol Drive), and turns north, immediately having an unconventional interchange with Boone's Lick Road.","Aside from the western terminus of Route & nbsp; 98, the only other site is the Hail Ridge Golf Course and a local street leading to Jesse Viertel Memorial Airport. Interstate & nbsp; 70 Business (I-70 Bus.) is a business loop of I-70 in Columbia between exits & nbsp; 125 and 128. Interstate & nbsp; 70 Business (I-70 Bus.) is a business loop of I-70 in St. Charles. It runs from exit & nbsp; 228 to 229, partially along Route & nbsp; 94, as well as otherwise unmarked First Capitol Drive and Fifth Street.",Make more concise.,wiki
"Wierwille's older brother, Harry Wierwille, became The Way's Secretary-Treasurer in 1952, and in 1954, Wierwille asked his friend and supporter, Ermal Owens, to serve as Vice President of The Way. Together, Victor, Harry, and Ermal formed The Way's original Board of Trustees; however their Trustee positions were not officially recognized until the Board of Directors authorized Wierwille, the President, to legally appoint Trustees for The Way in 1956. In 1977, the Vice President and Secretary-Treasurer were both replaced—Ermal Owens by the President's son, Donald Wierwille, and Harry Wierwille by Howard Allen. At the time, the Trustee title remained strictly attached to the offices of the Vice President and Secretary-Treasurer; therefore, Donald Wierwille and Howard Allen also replaced Harry Wierwille and Ermal Owens on the Board of Trustees. Victor Paul Wierwille continued to hold the third position on the Board of Trustees until Martindale became the President in 1982. Martindale appointed Rivenbark as Vice President in 1996, and then John Reynolds as Secretary-Treasurer in 1998, relieving Donald Wierwille and Howard Allen, respectively, from these positions and from their positions on the Board of Trustees. In 2000, Rivenbark succeeded Martindale as President and Harve Platig accepted the role of Vice President; the Trustee positions shifted accordingly to reflect these changes. In 2001, to conform with state law, the ""Trustee"" titles were exchanged for ""Director"" titles, resulting in a Board of Directors instead of a Board of Trustees.","Wierwille's older brother, Harry Ernst Wierwille, became The Way's secretary-treasurer in 1952, and Wierwille's friend, Ermal Owens, joined as vice president in 1954. Together, the three formed the original Board of Trustees, however their positions were not officially recognized until the Board of Directors authorized Wierwille to appoint trustees in 1956. In 1977, Ermal Owens was replaced by Wierwille's son, Donald Wierwille, and Harry Wierwille was replaced by Howard Allen. Victor Wierwille continued to hold his position on the Board of Trustees until Martindale became President in 1982. Martindale appointed Rivenbark as vice president in 1996, and then John Reynolds as secretary-treasurer in 1998. In 2000, Rivenbark succeeded Martindale as president and Harve Platig accepted the role of vice president. In 2001, to conform with state law, the Board of Trustees became known as the Board of Directors.",Copyedit for clarity and conciseness.,wiki
"As of 2011, evidence suggests that Hatha Yoga may be at least as effective at improving health outcomes as other forms of mild physical exercise when added to standard care. What is found most concerning regarding the legitimacy of Hatha Yoga as a method of healing is the current lack of specificity and standardization regarding the practice of Hatha Yoga. One recent study examined the difficulties of implementing Hatha Yoga-based therapies and methods of healing without any detailed, standardized and vetted descriptions of the asanas promoted as being beneficial for healing. This research calls for the creation of supported intervention practices that could be distributed and applied for use in clinical practice for patients.","As of 2011, evidence suggests that Hatha Yoga may be effective at improving health outcomes as a form of mild physical exercise when added to standard care. Hatha Yoga does not have specific and standardization regarding its practice. A study suggested for creation of supported practices that could be distributed and applied for use in clinical practice for patients.",Rewrite the text to be neutral.,wiki
"Before there can be scientific experimentation, organizations must be compliant with good governance. This means that testing must be moral and practical. Many organizations such as SPICE a geoengineering group that was formed in the U.K. were required to go through stages of evaluation before testing could be cleared if they were to be funded. Basically before research is to be done in the field of geoengineering it must undergo scrutiny to make sure testing isn’t harmful to the environment and to detail all the possible risks that may take place.","Before there can be scientific experimentation, organizations must be compliant with good governance, meaning that testing must be moral and practical. Many research organizations such as SPICE (Stratospheric Particle Injection for Climate Engineering) a geoengineering research project that was formed in the U.K. was required to go through stages of evaluation before testing could be conducted if they were to be funded by stakeholders. In 2011 SPICE made plans to experiment with solar radiation. The method for this experiment included injecting stratospheric sulfur aerosols into the Earths atmosphere. Before research can be conducted in the field of geoengineering it must be scrutinized using good governance to ensure testing isn’t harmful to the environment and to detail all the possible risks that may occur.",Add more information about SPICE,wiki
"Sandfly is a colloquial name for any species or genus of flying, biting, blood-sucking Dipteran encountered in sandy areas. In practice, nearly any fly found on a beach could be called a ""sand fly"". Some of these insects are a type of midge, which do not bite. Sand fleas or no-see-ums do bite and are a 1/4 of an inch in size. They leave large, red itchy bumps that may turn into a rash. The female no-see-um is responsible for biting and sucking the blood of mammals, reptiles and birds.","Sandfly (or sand fly) is a colloquial name for any species or genus of flying, biting, blood-sucking Dipteran encountered in sandy areas. Outside the United States, sandfly may refer to members of the subfamily Phlebotominae within the Psychodidae. While horse flies are large flies, noseeums (sandfleas) and Old-World sandflies are tiny midges. Sandfly bites may leave large, red itchy bumps that may turn into a rash. In the various sorts of sandfly only the female is responsible for biting and sucking the blood of mammals, reptiles and birds.",Provide more information regarding the genus of these incects.,wiki
"The service is currently contracted to Metroline. The 209 was introduced in 8 March 1997, as a renumbering of route 9A, running from London United's Shepherds Bush Garage. Route 9A began on 18 July 1992 to replace the withdrawn section of route 9 between Hammersmith and Mortlake due to a weight restriction restricting double deck buses over the weak Hammersmith Bridge. The 9A then paralleled route 9 to Kensington. The section between Kensington and Hammersmith was later withdrawn in March 1997, and the route re-numbered 209 at the same time.","Running between Hammersmith bus station and Mortlake, it is operated by Metroline. Route 209 commenced operating as route 9A on July 18, 1992, between Kensington and Mortlake to replace route 9 between Hammersmith and Mortlake due to a weight restriction restricting double deck buses over the weak Hammersmith Bridge. It was operated by London United's Shepherd's Bush garage. The section between Kensington and Hammersmith was later withdrawn on March 7, 1997, and the route re-numbered 209.",Tidy up and additional information as regards the history of the route,wiki
"He did not received any academic education. Among his personal exhibitions we can mention Wall Series "". In 1983 he presented"" Ramón Carulla "". In 1998 we can mention"" Ramón Carulla. During his artistic life he tooked part in many collectives exhibitions like ""I Bienal de Artistas Noveles de Cuba"".","He did not receive any academic education. Cuban Collection Fine Art, Coral Gables, Florida, U.S.A., 1988. During his artistic life, he took part in many collective exhibitions like ""I Bienal de Artistas Noveles de Cuba.""",Correct spelling and verb tenses.,wiki
"Ndadaye put forward a platform titled, ""Our proposals to build a new Burundi"", comprising 46 specific measures involving political, economic, and socio-cultural issues. Advocating change, he and his allies made frequent use of the phrase ""new Burundi"" (Kirundi: uburundi bushasha). He advocated disbanding the Tutsi-dominated armed forces and recreating the army and gendarmerie based on equitable recruitment from every collines, thus ensuring more ethnically balanced forces.","Advocating change, Ndadaye and his allies made frequent use of the phrase ""new Burundi"" (Kirundi: uburundi bushasha). He put forward a platform titled, ""Our proposals to build a new Burundi"", comprising 46 specific measures involving political, economic, and socio-cultural issues. He advocated disbanding the Tutsi-dominated armed forces and recreating the army and gendarmerie based on equitable recruitment from each colline, thus ensuring more ethnically balanced forces.",Re-arrange the order of information,wiki
Hemalurgic spikes can be reused. If a spike is removed from one person it keeps its Hemalurgic charge for sometime after and it can then be used by someone else to gain the ability or power that spike has. The power granted can be a different one from what the original user had (if the spike was used to steal a group of powers e.g. Allomantic physical or mental) because the new user can place it in a different spot. The longer the spike is outside of a living body the more the Hemalurgic charge diminishes as per the law of Hemalurgic decay.,"Per the law of Hemalurgic decay, the longer the spike is outside a living body, the more the Hemalurgic charge diminishes, but Hemalurgic spikes can be reused. If a spike is removed from one person it keeps its Hemalurgic charge for a time, able to be used by someone else to gain the ability or power within that spike. The granted power can be different from what the original user had (if the spike was used to steal a group of powers e.g. Allomantic physical or mental) because the new user can place it in a different spot.",Put the last sentence in the beginning. Copyedit.,wiki
"Chaturmas means the four months of the monsoon, during which ascetics stay in one place. Staying in one place during the monsoon reduces the risk of causing accidental death to numerous insects and smaller forms of life that thrive during the rains. During this period, it is a suitable time for lay Jains to have an annual renewal of the faith by listening to teachings of the Dharma and through meditation and vartas (self-control). During their eight months of travel, the sadhus give sermons whenever requested, most often when they come to a new village or town in their travels.","Chaturmas is the four-month monsoon period during which ascetics stay in one place to reduce the risk of accidentally killing insects and other small forms of life which thrive during the rains. This period is suitable for lay Jains to renew their faith by listening to teachings of the dharma, meditation and vartas (acts of self-control). During Chaturmas, the chief sadhu of each group gives a daily sermon (pravacana, vyakhyana) attended mostly by women and retired men but on special days by most of the lay congregation. During their eight months of travel, the sadhus give sermons whenever requested (most often when they arrive in a new village or town in their travels).",Expand and add more specific information.,wiki
"Even if the transfer case can provide 2wd by disconnecting the front driveshaft, there is still some friction being applied to the front wheels. The friction is provided by the remaining connected drivetrain, The front axle shafts and front differential are still connected even if the front driveshaft has been disconnected. Unlocking the front hubs disconnects from everything, and is not dependent on the front driveshaft or transfer case.","Even if the transfer case can provide 2wd by disconnecting the front driveshaft, the front wheels are still connected to the remaining drivetrain components (mainly the front differential and front axle shafts). Unlocking the front hubs disconnects from everything, and is not dependent on the front driveshaft being disconnected by the transfer case.","Remove the phrase, ""There is still some friction being applied to the front wheels.""",wiki
"Upon Lilulu discovering that she was being listened in on, she chases after Nobita and Doraemon. After returning to their own world, Zanda Claus tries to get through the portal as well, resulting in its destruction; seemingly separating the two worlds forever. The two have completely forgotten about the bowling ball orb that is still at home, however, It then wakes up, and starts bouncing around. Therefore, Doraemon pulls out a special kind of incubator and puts the bowling ball and Doraemon's Translation Jelly in it, causing the bowling ball to hatch into a cute yellow peep the group names ""Pippo"". He warns Nobita of a giant robot army who are involved in a plot to enslave all humanity, so that robot-kind can take over the Earth. Many things happen, resulting in Nobita becoming good friends with Pippo, and Shizuka taking care of fixing Lilulu when she gets very badly damaged. Even after everything Nobita and the others do for her, Lilulu still proceeds to shoot Nobita with a laser beam from her finger. Pippo jumps in front of Nobita and becomes very badly injured. His injuries give Lilulu a wake-up call, so she changes her mind and decides that she is not going to tell the robot leader why there are no humans on the planet nor where they are. The rest of the robot army chains her up for her heresy to people, and tortures her to get her to spill what she knows. Nobita, Doraemon, and the rest of the gang show up with Zanda Claus and rescue her. Back in the real world, Lilulu describes that she is having an inner conflict with herself and doesn't know what she wants, so she willingly lets Doraemon lock her up in a bird cage using the Small Light. In the meantime, the robot army gets further suspicious because of there being no humans in the world. They then discover that they are in a fake world upon analyzing the satellite image of the world and the same image of the current world and seeing how they are reversed. They head back to the lake where they entered as they are sure that it is the connection doorway. Doraemon and the group decide to intercept the army right at the lake. At that while, Lilulu and Shizuka were staying back at Shizuka's house to have some talks, which gives Shizuka a brilliant idea to save the world. The professor plans to redo everything by taking the competition instinct out of his robots and instead adds more instincts of humanity and love into his robots.","Lilulu discovers that Nobita and Doraemon eavesdropped on her and chases them. After Nobita and Doraemon return to their own world, Zanda Claus tries to get through the portal as well, which results in its destruction, seemingly separating the two worlds forever. Nobita and Doraemon have forgotten about the bowling ball orb that is still at home. It wakes up and begins bouncing around. Doraemon warns Nobita about a giant robot army involved in a plot to enslave all humanity, so that robot-kind can take over the Earth. Nobita becomes good friends with Pippo, and Shizuka takes care of fixing Lilulu when she becomes very badly damaged. Lilulu had some traumatic experiences as a child, and she holds a very deep distrust and resentment towards humans. The only individual with whom she feels connected is Pippo, whom she fixed ""on a whim"" after he was broken by the other robots. Despite everything Nobita and the others do for her, Lilulu still shoots Nobita with a laser beam from her finger. Pippo jumps in front of Nobita and is very badly injured, which gives Lilulu a wake-up call. She changes her mind and decides that she is not going to tell the robot leader why there are no humans on the planet or where they are. The rest of the robot army chains her up for her heresy to people, and tortures her to get her to reveal what she knows. Nobita, Doraemon, and the others arrive with Zanda Claus and rescue her. Back in the real world, Lilulu reveals that she is having an inner conflict with herself and doesn't know what she wants. She willingly lets Doraemon lock her up in a birdcage using the Small Light. In the meantime, the robot army becomes suspicious because of the lack of humans in the world. They discover that they are in a fake world after analyzing the satellite image of the world, then comparing the image to another image of the current world, and seeing how they are reversed. They return to the lake where they entered the fake world, sure that it is the connection doorway. Doraemon and the group intercept the army at the lake. Lilulu and Shizuka remain at Shizuka's house to have a talk, which gives Shizuka a brilliant idea to save the world. She re-enlarges Lilulu, using the Enlarging Torch Light, and they both use the Walk-In Mirror to return to the real world. Using the time machine, they return to 30,000 years ago on Mekatopia, attempting to talk to the professor who created the robots from which the robot army is descended. The professor plans to redo everything by removing the competition instinct from his robots, replacing those instincts with instincts of humanity and love.",Copyedit and resume at episode 9.,wiki
"Ali Baba and the Forty Thieves is a 1944 adventure film directed by Arthur Lubin and starring Maria Montez and Jon Hall. The film is derived from The Book of One Thousand and One Nights but its story departs greatly from the tale of the same name and includes an actual historic event. The film is one of series of ""exotic"" tales released by Universal during the war years; others include Cobra Woman, Arabian Nights and White Savage. The story begins in the immediate aftermath of the successful Mongolian conquest of Bagdad by Hulagu Khan (Kurt Katch). The caliph Hassan (Moroni Olsen) has escaped captivity, together with his young son Ali (Scotty Beckett), and prepares to regroup the remnants of his troops. While staying at the mansion of Prince Cassim (Frank Puglia), Ali and Cassim's daughter Amara (Yvette Duguay), fearing that they will not see each other again, betroth themselves via blood-bond.","Ali Baba and the Forty Thieves is a 1944 adventure film from Universal Pictures, directed by Arthur Lubin, and starring Maria Montez and Jon Hall. The film is derived from The Book of One Thousand and One Nights, but its storyline departs greatly from the tale of the same name and includes an actual historic event. While staying at the mansion of Prince Cassim (Frank Puglia), Ali and Cassim's daughter Amara (Yvette Duguay), fearing that they will not see each other again, betroth themselves via a blood-bond.","Edit the section that includes the plot, correct grammar, and condense for conciseness.",wiki
"A Slalom racer's method of diverting gates with his outer hand or arm (normally protected from the impact by a pole guard) in order to draw his body's center of gravity closer to the fall line and increase his speed. In cross-blocking, the racer's feet get sufficiently close to the pole that, due to inward lean, the racer's entire upper body would actually pass through the pole if it were not moved out of the way. Thus they hit the pole with their outside hand to move it out of the way --- modern poles are designed to easily bend.","Cross-blocking is the method that a slalom racer uses to draw his body's center of gravity closer to the fall line and increase his speed. This is done by diverting gates with his outer hand or arm (normally protected from the impact by a pole guard). The racer's feet get sufficiently close to the pole that, due to inward lean, the racer's entire upper body would actually pass through the pole if it were not moved out of the way. Thus they hit the pole (modern ones are designed to easily bend) with their outside hand to move it out of the way.",Make the text easier to understand.,wiki
"East of the Thar Desert, the region running from Punjab and Haryana to Kathiawar experiences a tropical and sub-tropical steppe climate. The climate of Haryana is similar to other states of India lying in the northern plains. It is very hot in summer (up to a high of 50 deg Celsius) and cold in winters (down to a low of 1 deg Celsius). The hottest months are May and June and the coldest being December and January.","East of the Thar Desert, the Punjab-Haryana-Kathiawar region experiences a tropical and sub-tropical steppe climate. Haryana's climate resembles other states of the northern plains: extreme summer heat of up to 50 ° C and winter cold as low as 1 ° C. May and June are hottest; December and January are coldest.",Copyedit for conciseness.,wiki
"Later during the season, Tommy Oliver (Jason David Frank) is introduced as a villain, but later becomes the sixth member of the team. Together they continue to foil Rita's plans along with her henchmen Goldar (Sakamoto), her second in command, Squatt and Baboo (Watanabe, Kusaka) the bumbling duo, and Finster (Iiboshi), the maker of most of their monsters. Meanwhile, Bulk and Skull (Paul Schrier, Jason Narvy) act as comic relief, at Angel Grove High, where the Rangers attend high school.","Tommy Oliver (Jason David Frank) is introduced as a villain, but later becomes the sixth team member. Together they continue to foil Rita's plans along with her second-in-command Goldar (Sakamoto), the bumbling duo, Squatt, and Baboo (Watanabe, Kusaka) and the monster maker Finster (Iiboshi). Meanwhile, Bulk and Skull (Paul Schrier, Jason Narvy) act as comic relief, at Angel Grove High, where the Rangers attend school. They open it, accidentally releasing Rita Repulsa and her minions Goldar, Squatt, Baboo, and Finster.",Copyedit and add more information.,wiki
"The Complete Idiot's Guides is a product line of how-to and other reference books published by Dorling Kindersley (DK) that each seek to provide a basic understanding of a complex and popular topic. The term ""idiot"" is used as hyperbole in claiming ensured comprehension. The approach relies on explaining a topic via very basic terminology. Definitions of words, profiles of people, and a synopsis of events for context are also provided in many cases.","The ""Complete Idiot's Guides"" is a product line of how-to and other reference books published by Dorling Kindersley (DK). The books in this series provide a basic understanding of complex and popular topics. The term ""idiot"" is used as hyperbole to reassure readers that the guides will be basic and comprehensible, even if the topics seem intimidating. The approach relies on explaining a topic step-by-step, using basic terminology, definitions of words, and profiles of people.",Copyedit the first paragraph's series description for clarity.,wiki
